date,change,changeOverTime,changePercent,close,high,label,low,open,unadjustedVolume,volume,vwap
2013-11-26,-0.64,-0.11539313399778514,-0.531,119.82,120.4,"Nov 26, 13",119.59,119.84,9053320,9053320,119.9411
2013-11-27,-0.36,-0.11805094130675524,-0.3,119.46,120.69,"Nov 27, 13",119.25,120.49,6144568,6144568,119.8546
2013-11-29,1.24,-0.10889627168696926,1.038,120.7,121.05,"Nov 29, 13",120.62,120.67,2364671,2364671,120.8
2013-12-02,-3.12,-0.1319306016980435,-2.585,117.58,119.29,"Dec 2, 13",117.5,119.2,10297128,10297128,118.1977
2013-12-03,0.38,-0.12912513842746398,0.323,117.96,118.31,"Dec 3, 13",117.23,117.58,7004847,7004847,120.7589
2013-12-04,2.0,-0.11435954226651898,1.695,119.96,120.76,"Dec 4, 13",118.16,118.33,9110691,9110691,119.5244
2013-12-05,-1.66,-0.1266149870801033,-1.384,118.3,119.24,"Dec 5, 13",117.41,118.2,10254676,10254676,118.5064
2013-12-06,0.25,-0.12476928755998518,0.211,118.55,119.26,"Dec 6, 13",118.01,118.86,7910040,7910040,118.7392
2013-12-09,1.17,-0.11613141380583235,0.987,119.72,119.92,"Dec 9, 13",118.9496,118.99,5510392,5510392,119.3866
2013-12-10,2.1,-0.10062753783684014,1.754,121.82,122.32,"Dec 10, 13",121.47,122.14,9164469,9164469,122.724
2013-12-11,-0.96,-0.10771502399409369,-0.788,120.86,121.81,"Dec 11, 13",120.76,121.49,9934908,9934908,121.2784
2013-12-12,-2.57,-0.12668881506090796,-2.126,118.29,118.82,"Dec 12, 13",118.03,118.61,8810811,8810811,118.4879
2013-12-13,1.09,-0.11864156515319302,0.921,119.38,119.49,"Dec 13, 13",118.761,118.89,6484891,6484891,119.1625
2013-12-16,0.31,-0.11635289774824653,0.26,119.69,120.77,"Dec 16, 13",118.97,119.26,8193324,8193324,119.8943
2013-12-17,-1.04,-0.12403100775193787,-0.869,118.65,119.9001,"Dec 17, 13",118.37,118.96,8589144,8589144,118.8681
2013-12-18,-1.04,-0.13170911775562932,-0.877,117.61,120.05,"Dec 18, 13",117.29,119.0,16265046,16265046,118.3367
2013-12-19,-2.79,-0.15230712440014763,-2.372,114.82,116.06,"Dec 19, 13",114.5,115.97,15984757,15984757,115.4197
2013-12-20,1.12,-0.1440383905500184,0.975,115.94,116.469,"Dec 20, 13",115.06,115.37,14697716,14697716,116.5952
2013-12-23,-0.37,-0.14677002583979326,-0.319,115.57,116.12,"Dec 23, 13",115.43,115.61,6244146,6244146,115.6509
2013-12-24,0.53,-0.14285714285714282,0.459,116.1,116.29,"Dec 24, 13",115.71,115.79,3353940,3353940,115.9887
2013-12-26,0.64,-0.13813215208564042,0.551,116.74,117.23,"Dec 26, 13",116.65,117.23,3868528,3868528,116.9217
2013-12-27,0.38,-0.1353266888150608,0.326,117.12,117.38,"Dec 27, 13",116.85,117.31,4207991,4207991,117.1471
2013-12-30,-1.73,-0.14809892949427825,-1.477,115.39,116.4,"Dec 30, 13",115.18,116.37,6713023,6713023,115.9701
2013-12-31,0.73,-0.1427094868955333,0.633,116.12,117.13,"Dec 31, 13",114.46,114.61,12838233,12838233,116.5689
2014-01-02,1.88,-0.12882982650424504,1.619,118.0,118.73,"Jan 2, 14",117.75,117.93,7570508,7570508,117.3709
2014-01-03,1.29,-0.11930601698043547,1.093,119.29,119.62,"Jan 3, 14",118.59,118.64,5879119,5879119,119.2054
2014-01-06,0.21,-0.11775562938353629,0.176,119.5,120.39,"Jan 6, 14",117.11,119.76,10107731,10107731,119.4542
2014-01-07,-0.68,-0.12277593207825764,-0.569,118.82,118.92,"Jan 7, 14",118.1301,118.46,6435823,6435823,118.5331
2014-01-08,-0.7,-0.1279438907345883,-0.589,118.12,118.52,"Jan 8, 14",117.5,117.99,7432317,7432317,117.9699
2014-01-09,0.34,-0.12543373938722774,0.288,118.46,118.69,"Jan 9, 14",117.99,118.11,3972991,3972991,118.3588
